ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.2939,7.5957,5.5337,-1.0664,7.6821,6.0015,0.3542,0.0053,0.386,-0.0433,-0.3817,0.3797,12179.0,-8.95,-45.56,-16.89,133.27,-58.92,33.9,5.0,29.68,,,,NaN,,,,0 / 25,12,2018-03-07 13:37:24:686
-1.1599,6.8312,6.0027,-1.2504,6.9954,6.7581,0.256,0.1754,-0.0502,-0.1668,0.0411,-0.1167,14554.0,-16.42,-40.14,-23.23,126.93,-44.29,7.25,5.0,53.373,,,,NaN,,,,0 / 25,5013,2018-03-07 13:37:29:687
-1.2508,-0.1343,10.5742,-1.2405,-0.5954,9.7096,-0.0733,0.2633,-0.0805,0.0669,-0.3378,-0.0093,1556.0,-30.54,-6.79,-43.25,74.72,-13.51,-16.17,5.0,50.666,,,,NaN,,,,0 / 25,10013,2018-03-07 13:37:34:687
-0.4671,-0.2803,10.1602,-0.4225,-0.2635,9.794,-0.0068,0.0125,0.0049,-0.0014,-2.0E-4,-0.0105,1583.0,-27.17,-7.86,-44.28,107.59,1.54,2.46,5.0,50.994,,,,NaN,,,,0 / 25,15012,2018-03-07 13:37:39:686
-0.4241,-0.2827,10.1458,-0.42,-0.2549,9.7943,-0.0055,-0.0021,0.0097,0.0016,-0.0019,-2.0E-4,1604.0,-27.41,-6.79,-43.99,105.68,1.51,2.55,5.0,27.01,,,,NaN,,,,0 / 25,20013,2018-03-07 13:37:44:687
-0.4336,-0.291,10.1124,-0.4166,-0.2616,9.7943,-1.0E-4,-0.0026,-0.0086,-2.0E-4,1.0E-4,0.001,1638.0,-27.41,-6.5,-44.23,103.88,1.52,2.46,5.0,6.666,,,,NaN,,,,0 / 25,25013,2018-03-07 13:37:49:687
-0.43,-0.2743,10.1147,-0.4214,-0.2623,9.7941,8.0E-4,3.0E-4,0.0011,8.0E-4,-1.0E-4,0.0016,1854.0,-27.36,-6.4,-43.79,103.91,1.54,2.44,5.0,13.757,,,,NaN,,,,0 / 25,30012,2018-03-07 13:37:54:686
-0.4001,-0.2492,10.1088,-0.4207,-0.2625,9.7941,-0.0039,-0.0036,0.0025,-0.002,-6.0E-4,0.0032,2537.0,-26.82,-6.11,-44.62,103.93,1.53,2.45,5.0,7.388,,,,NaN,,,,0 / 25,35012,2018-03-07 13:37:59:686
-0.4217,-0.2779,10.1028,-0.4169,-0.2624,9.7943,-0.0167,0.0058,0.0127,-4.0E-4,-3.0E-4,0.0054,2571.0,-27.26,-6.45,-44.28,103.91,1.53,2.44,5.0,6.713,,,,NaN,,,,0 / 25,40013,2018-03-07 13:38:04:687
-0.4229,-0.2851,10.1315,-0.422,-0.2638,9.794,-0.0026,0.0079,-0.0027,-0.002,1.0E-4,0.002,2950.0,-26.82,-5.96,-44.33,103.91,1.54,2.47,5.0,8.76,,,,NaN,,,,0 / 25,45013,2018-03-07 13:38:09:687
-0.4265,-0.2587,10.1207,-0.4169,-0.2607,9.7943,-0.0037,0.0047,-0.0103,2.0E-4,-2.0E-4,0.002,1962.0,-27.12,-6.4,-44.04,103.89,1.52,2.44,5.0,8.568,,,,NaN,,,,0 / 25,50013,2018-03-07 13:38:14:687
-0.4288,-0.2779,10.1458,-0.4188,-0.2578,9.7943,-0.0024,-0.004,0.0038,-0.0019,0.0017,0.0046,2165.0,-27.66,-6.25,-47.26,103.51,1.51,2.45,5.0,44.261,,,,NaN,,,,0 / 17,55013,2018-03-07 13:38:19:687
-0.43,-0.2851,10.1423,-0.4161,-0.2629,9.7943,0.007,0.0027,0.0019,-0.0022,6.0E-4,0.0023,2057.0,-27.85,-6.69,-47.84,105.37,1.54,2.43,5.0,10.558,,,,NaN,,,,0 / 17,60012,2018-03-07 13:38:24:686
-0.4659,-0.2659,10.0298,-0.4173,-0.2561,9.7944,-0.0089,-0.0074,0.0055,-9.0E-4,7.0E-4,0.0033,1786.0,-27.61,-7.67,-48.09,107.07,1.5,2.44,5.0,37.581,,,,NaN,,,,0 / 17,65013,2018-03-07 13:38:29:687
-0.4632,-0.5804,10.2214,2.1965,2.515,9.2206,0.2169,0.5247,-0.5792,-0.3678,0.6713,0.0661,2883.0,-30.15,-10.5,-45.01,82.78,-14.86,-13.4,5.0,39.632,,,,NaN,,,,0 / 17,70013,2018-03-07 13:38:34:687
-1.2747,-0.7828,10.1052,-1.2045,-0.7603,9.7027,0.0144,-0.0014,0.0028,-3.0E-4,-0.0015,0.0038,2943.0,-20.92,-6.16,-46.09,109.37,4.45,7.08,5.0,53.024,,,,NaN,,,,0 / 17,75013,2018-03-07 13:38:39:687
-1.2556,-0.7816,10.1124,-1.2132,-0.7557,9.7019,0.0194,-0.0229,-0.014,-1.0E-4,0.0,-9.0E-4,2903.0,-20.82,-6.11,-46.09,109.3,4.42,7.13,5.0,8.61,,,,NaN,,,,0 / 17,80013,2018-03-07 13:38:44:687
-1.2663,-0.7935,10.1255,-1.2145,-0.7629,9.7012,-0.0164,-0.0214,-5.0E-4,0.0011,1.0E-4,0.001,2010.0,-21.26,-5.81,-49.7,109.61,4.46,7.14,5.0,27.456,,,,NaN,,,,0 / 17,85013,2018-03-07 13:38:49:687
-1.2687,-0.7959,10.1303,-1.2171,-0.7685,9.7004,0.0016,-0.0045,-0.0047,-0.0015,0.0026,0.002,1590.0,-21.11,-4.69,-46.48,107.46,4.49,7.15,5.0,26.01,,,,NaN,,,,0 / 17,90013,2018-03-07 13:38:54:687
-1.2651,-0.8079,10.0836,-1.2229,-0.7647,9.7,-0.0023,-0.0099,-0.0137,-0.0014,2.0E-4,0.0042,1529.0,-21.01,-4.89,-45.06,107.34,4.47,7.19,5.0,14.969,,,,NaN,,,,0 / 17,95013,2018-03-07 13:38:59:687
-1.2532,-0.8223,10.1124,-1.2214,-0.7619,9.7004,-0.011,-0.0163,-0.0163,-9.0E-4,0.0015,0.0025,1489.0,-21.11,-3.96,-46.43,105.42,4.46,7.18,5.0,4.88,,,,NaN,,,,0 / 17,100013,2018-03-07 13:39:04:687
-1.252,-0.7768,10.0765,-1.212,-0.7593,9.7018,0.0282,7.0E-4,-0.0073,0.0,1.0E-4,0.0028,1482.0,-20.53,-4.45,-45.16,105.33,4.44,7.12,5.0,31.908,,,,NaN,,,,0 / 17,105012,2018-03-07 13:39:09:686
-0.4135,-0.7655,10.0921,-0.3761,-0.7339,9.7719,-0.0222,0.001,-0.0057,-6.0E-4,-0.0016,0.0013,1448.0,-26.19,-4.89,-44.47,106.51,4.29,2.2,5.0,7.349,,,,NaN,,,,0 / 17,110013,2018-03-07 13:39:14:687
-0.4324,-0.7768,10.1231,-0.4037,-0.7329,9.7709,-0.004,-0.0064,-0.0041,6.0E-4,-0.0013,2.0E-4,1401.0,-26.04,-3.96,-44.28,104.51,4.29,2.37,5.0,4.382,,,,NaN,,,,0 / 17,115013,2018-03-07 13:39:19:687
-0.4169,-0.7493,10.1363,-0.4033,-0.7258,9.7714,-0.0076,0.0156,-0.0049,-6.0E-4,-1.0E-4,0.002,1414.0,-26.39,-4.06,-47.31,104.82,4.24,2.36,5.0,7.23,,,,NaN,,,,0 / 17,120013,2018-03-07 13:39:24:687
-0.4073,-0.7517,10.1662,-0.4014,-0.7363,9.7707,0.0,0.0203,-0.0108,-7.0E-4,0.0024,-0.0014,1401.0,-25.7,-3.96,-44.23,104.55,4.31,2.35,5.0,31.01,,,,NaN,,,,0 / 17,125014,2018-03-07 13:39:29:688
-0.4324,-0.7636,10.1171,-0.3989,-0.7293,9.7714,-0.0077,0.0079,-0.0064,0.0014,-0.002,-7.0E-4,1414.0,-25.95,-3.13,-44.33,102.55,4.26,2.34,5.0,42.768,,,,NaN,,,,0 / 17,130013,2018-03-07 13:39:34:687
-0.4109,-0.7672,10.1339,-0.4002,-0.7377,9.7707,0.0193,0.0055,0.0335,3.0E-4,-0.0014,0.0018,1421.0,-25.75,-3.62,-44.13,104.56,4.31,2.35,5.0,12.689,,,,NaN,,,,0 / 17,135013,2018-03-07 13:39:39:687
-0.4217,-0.76,10.1147,-0.4095,-0.7455,9.7697,0.034,0.005,0.0017,6.0E-4,-0.0017,-3.0E-4,1414.0,-25.51,-3.37,-45.11,102.79,4.36,2.4,5.0,9.442,,,,NaN,,,,0 / 17,140014,2018-03-07 13:39:44:688
-0.4229,-0.7565,10.1387,-0.3995,-0.7401,9.7705,-0.0037,-0.0054,-0.0096,-1.0E-4,0.001,0.0,1428.0,-25.16,-4.2,-44.18,105.11,4.33,2.34,5.0,9.941,,,,NaN,,,,0 / 17,145013,2018-03-07 13:39:49:687
-0.4241,-0.7636,10.104,-0.4052,-0.7284,9.7712,0.0073,0.007,-0.0015,0.0011,3.0E-4,-7.0E-4,1421.0,-25.02,-3.86,-44.28,104.99,4.26,2.37,5.0,28.081,,,,NaN,,,,0 / 17,150013,2018-03-07 13:39:54:687
-0.3989,-0.7541,10.0992,-0.4009,-0.7345,9.7709,-0.0476,0.0107,-0.1473,-0.0019,-0.0024,0.0,1421.0,-24.29,-3.52,-44.18,105.62,4.3,2.35,5.0,5.707,,,,NaN,,,,0 / 17,155013,2018-03-07 13:39:59:687
-0.4049,-0.7744,10.1195,-0.4039,-0.7317,9.771,-0.0032,-0.0066,-0.0235,-0.0028,0.0,0.0018,1523.0,-24.33,-3.76,-43.89,105.58,4.28,2.37,5.0,5.248,,,,NaN,,,,0 / 17,160012,2018-03-07 13:40:04:686
-0.4157,-0.7505,10.0956,-0.4006,-0.7297,9.7713,0.02,-0.0106,0.033,-3.0E-4,-3.0E-4,2.0E-4,1516.0,-24.33,-3.81,-43.79,105.58,4.27,2.35,5.0,4.665,,,,NaN,,,,0 / 16,165013,2018-03-07 13:40:09:687
-0.4252,-0.7541,10.1411,-0.4031,-0.7374,9.7706,0.0033,-0.0038,0.0034,-0.0014,0.0013,9.0E-4,1502.0,-24.14,-4.35,-44.13,105.64,4.31,2.36,5.0,4.037,,,,NaN,,,,0 / 16,170013,2018-03-07 13:40:14:687
-0.4121,-0.7505,10.0836,-0.3989,-0.7293,9.7714,0.0025,0.0139,0.0099,9.0E-4,-5.0E-4,-6.0E-4,1496.0,-23.94,-3.42,-44.28,103.54,4.31,2.41,5.0,19.737,,,,NaN,,,,0 / 16,175013,2018-03-07 13:40:19:687
-0.3953,-0.7576,10.0896,-0.4006,-0.7287,9.7713,-0.0054,0.0263,0.0409,-0.002,4.0E-4,0.0014,1482.0,-23.85,-3.67,-44.57,105.72,4.28,2.38,5.0,5.067,,,,NaN,,,,0 / 16,180013,2018-03-07 13:40:24:687
